Chapter,Disease,ID,,,,ICD9_CODE,TA,SHORT_TITLE,Count of HADM_ID,Adverse Effect,Disease,,
,,,,,,37941,320-389,Anisocoria,34,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37950,320-389,Nystagmus NOS,17,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37923,320-389,Vitreous hemorrhage,11,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37943,320-389,Mydriasis not d/t mydrtc,10,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37991,320-389,Pain in or around eye,6,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37900,320-389,Scleritis NOS,5,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37921,320-389,Vitreous degeneration,4,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37924,320-389,Vitreous opacities NEC,4,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37992,320-389,Swelling or mass of eye,4,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37999,320-389,Ill-defined eye dis NEC,4,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37956,320-389,Nystagmus NEC,3,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37909,320-389,Scleritis NEC,2,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37922,320-389,Crystal deposit vitreous,2,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37940,320-389,Abn pupil function NOS,2,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,3798,320-389,Eye disorders NEC,2,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37993,320-389,Redness/discharge of eye,2,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37942,320-389,Miosis not d/t miotics,1,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37952,320-389,Latent nystagmus,1,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37955,320-389,Dissociated nystagmus,1,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37990,320-389,Eye disorder NOS,1,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37901,320-389,Episclerit periodic fugx,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37902,320-389,Nodular episcleritis,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37903,320-389,Anterior scleritis,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37904,320-389,Scleromalacia perforans,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37905,320-389,Scleritis w cornea invol,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37906,320-389,Brawny scleritis,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37907,320-389,Posterior scleritis,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37911,320-389,Scleral ectasia,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37912,320-389,Staphyloma posticum,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37913,320-389,Equatorial staphyloma,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37914,320-389,Local anterior staphylma,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37915,320-389,Ring staphyloma,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37916,320-389,Scleral degen dis NEC,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37919,320-389,Disorder of sclera NEC,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37925,320-389,Vitreous membranes,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37926,320-389,Vitreous prolapse,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37927,320-389,Vitreomacular adhesion,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37929,320-389,Vitreous disorders NEC,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37931,320-389,Aphakia,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37932,320-389,Subluxation of lens,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37933,320-389,Ant dislocation of lens,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37934,320-389,Post dislocation of lens,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37939,320-389,Disorders of lens NEC,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37945,320-389,Argyll robertson pupil,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37946,320-389,Tonic pupillary reaction,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37949,320-389,Pupil funct anomaly NEC,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37951,320-389,Congenital nystagmus,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37953,320-389,Visual deprivatn nystagm,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37954,320-389,Nystagms w vestibulr dis,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37957,320-389,Saccadic eye movmnt def,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37958,320-389,Smooth pursuit mvmnt def,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37959,320-389,Irregular eye mvmnts NEC,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37960,320-389,Inflam postproc bleb NOS,0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37961,320-389,"Inflam postproc bleb, 1",0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37962,320-389,"Inflam postproc bleb, 2",0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,37963,320-389,"Inflam postproc bleb, 3",0,-,"Iritis or other eye disorder

","320-389Iritis or other eye disorder

",#N/A
,,,,,,3109,290-319,Nonpsychot brain syn NOS,10,-,Others,290-319Others,#N/A
,,,,,,3368,320-389,Myelopathy NEC,10,-,Others,320-389Others,#N/A
,,,,,,38022,320-389,Acute otitis externa NEC,3,-,Eczema,320-389Eczema,#N/A
,,,,,,34882,320-389,Brain death,10,-,Others,320-389Others,#N/A
,,,,,,3574,320-389,Neuropathy in other dis,10,-,Others,320-389Others,#N/A
,,,,,,3589,320-389,Myoneural disorders NOS,10,-,Others,320-389Others,#N/A
,,,,,,3804,320-389,Impacted cerumen,10,-,Others,320-389Others,#N/A
,,,,,,38830,320-389,Tinnitus NOS,10,-,Others,320-389Others,#N/A
,,,,,,43884,390-459,Ataxia,10,-,Others,390-459Others,#N/A
,,,,,,44502,390-459,"Atheroembolism,lower ext",10,-,Others,390-459Others,#N/A
,,,,,,4613,460-519,Ac sphenoidal sinusitis,10,-,Others,460-519Others,#N/A
,,,,,,46400,460-519,Ac laryngitis w/o obst,10,-,Others,460-519Others,#N/A
,,,,,,46619,460-519,Acu brnchlts d/t oth org,10,-,Others,460-519Others,#N/A
,,,,,,5060,460-519,Fum/vapor bronc/pneumon,10,-,Others,460-519Others,#N/A
,,,,,,5160,460-519,Pul alveolar proteinosis,10,-,Others,460-519Others,#N/A
,,,,,,52460,520-579,TMJ disorders NOS,10,-,Others,520-579Others,#N/A
,,,,,,52510,520-579,Acq absence of teeth NOS,10,-,Others,520-579Others,#N/A
,,,,,,53110,520-579,Ac stomach ulcer w perf,10,-,Others,520-579Others,#N/A
,,,,,,55200,520-579,Unil femoral hern w obst,10,-,Others,520-579Others,#N/A
,,,,,,56202,520-579,Dvrtclo sml int w hmrhg,10,-,Others,520-579Others,#N/A
,,,,,,57430,520-579,Choledocholith/ac gb inf,10,-,Others,520-579Others,#N/A
,,,,,,57440,520-579,Choledochlith/gb inf NEC,10,-,Others,520-579Others,#N/A
,,,,,,5811,580-629,Epimembranous nephritis,10,-,Others,580-629Others,#N/A
,,,,,,5966,580-629,"Bladder rupt, nontraum",10,-,Others,580-629Others,#N/A
,,,,,,5967,580-629,Bladder wall hemorrhage,10,-,Others,580-629Others,#N/A
,,,,,,6144,580-629,Chronic parametritis,10,-,Others,580-629Others,#N/A
,,,,,,6179,580-629,Endometriosis NOS,10,-,Others,580-629Others,#N/A
,,,,,,6208,580-629,Noninfl dis ova/adnx NEC,10,-,Others,580-629Others,#N/A
,,,,,,64894,630_679__740_759__760_779,Oth curr cond-postpartum,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,66632,630_679__740_759__760_779,P/p coag def-del w p/p,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7018,680-709,Skin hypertro/atroph NEC,10,-,Others,680-709Others,#N/A
,,,,,,71695,710-739,Arthropathy NOS-pelvis,10,-,Others,710-739Others,#N/A
,,,,,,7218,710-739,Spinal disorders NEC,10,-,Others,710-739Others,#N/A
,,,,,,72272,710-739,Thor disc dis w myelopat,10,-,Others,710-739Others,#N/A
,,,,,,72273,710-739,Lumb disc dis w myelopat,10,-,Others,710-739Others,#N/A
,,,,,,7280,710-739,Infective myositis,10,-,Others,710-739Others,#N/A
,,,,,,7292,710-739,Neuralgia/neuritis NOS,10,-,Others,710-739Others,#N/A
,,,,,,72982,710-739,Cramp in limb,10,Muscle cramps,Others,710-739Others,#N/A
,,,,,,7429,630_679__740_759__760_779,Nervous system anom NOS,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7462,630_679__740_759__760_779,Ebstein's anomaly,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,74683,630_679__740_759__760_779,Infundib pulmon stenosis,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,74721,630_679__740_759__760_779,Anomalies of aortic arch,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,74742,630_679__740_759__760_779,Part anom pulm ven conn,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,74761,630_679__740_759__760_779,Gstrontest vesl anomaly,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7622,630_679__740_759__760_779,Abn plac NEC/NOS aff NB,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7631,630_679__740_759__760_779,Malpos/dispro NEC aff NB,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7635,630_679__740_759__760_779,Mat anesth/analg aff NB,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7774,630_679__740_759__760_779,Transitory ileus of NB,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7780,630_679__740_759__760_779,Hydrops fetalis no isoim,10,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7881,780-799,Dysuria,29,-,Others,780-799Others,#N/A
,,,,,,78442,780-799,Dysphonia,26,-,Others,780-799Others,#N/A
,,,,,,78639,780-799,Hemoptysis NEC,24,-,Others,780-799Others,#N/A
,,,,,,7908,780-799,Viremia NOS,10,-,Others,780-799Others,#N/A
,,,,,,79415,780-799,Abn auditory funct study,10,-,Others,780-799Others,#N/A
,,,,,,8300,800-999,Dislocation jaw-closed,10,-,Others,800-999Others,#N/A
,,,,,,85146,800-999,Cerebell contus-coma NOS,10,-,Others,800-999Others,#N/A
,,,,,,85405,800-999,Brain inj NEC-deep coma,10,-,Others,800-999Others,#N/A
,,,,,,86239,800-999,Intrathorac inj NEC-open,10,-,Others,800-999Others,#N/A
,,,,,,8630,800-999,Stomach injury-closed,10,-,Others,800-999Others,#N/A
,,,,,,8631,800-999,Stomach injury-open,10,-,Others,800-999Others,#N/A
,,,,,,86414,800-999,"Liver lacerat, major-opn",10,-,Others,800-999Others,#N/A
,,,,,,8678,800-999,Pelvic organ inj NOS-cl,10,-,Others,800-999Others,#N/A
,,,,,,87359,800-999,Open wnd face NEC-compl,10,-,Others,800-999Others,#N/A
,,,,,,8744,800-999,Open wound of pharynx,10,-,Others,800-999Others,#N/A
,,,,,,88122,800-999,Opn wound wrist w tendon,10,-,Others,800-999Others,#N/A
,,,,,,8840,800-999,Open wound arm mult/NOS,10,-,Others,800-999Others,#N/A
,,,,,,8850,800-999,Amputation thumb,10,-,Others,800-999Others,#N/A
,,,,,,90241,800-999,Injury renal artery,10,-,Others,800-999Others,#N/A
,,,,,,9033,800-999,Injury ulnar vessels,10,-,Others,800-999Others,#N/A
,,,,,,95203,800-999,Central cord synd/c1-c4,10,-,Others,800-999Others,#N/A
,,,,,,9571,800-999,Injury to nerve NEC,10,-,Others,800-999Others,#N/A
,,,,,,95893,800-999,Trauma compart synd abd,10,-,Others,800-999Others,#N/A
,,,,,,95909,800-999,Face & neck injury,10,-,Others,800-999Others,#N/A
,,,,,,9680,800-999,Pois-cns muscle depress,10,-,Others,800-999Others,#N/A
,,,,,,9696,800-999,Poisoning-hallucinogens,10,-,Others,800-999Others,#N/A
,,,,,,99641,800-999,Mech loosening pros jt,10,-,Others,800-999Others,#N/A
,,,,,,99933,800-999,Lcl inf dt cen ven cth,10,-,Others,800-999Others,#N/A
,,,,,,E8199,E_V,Traffic acc NOS-pers NOS,10,-,E_V,E_VE_V,#N/A
,,,,,,E8232,E_V,Oth coll stnd obj-mocycl,10,-,E_V,E_VE_V,#N/A
,,,,,,E9248,E_V,Hot substance accid NEC,10,-,E_V,E_VE_V,#N/A
,,,,,,E9452,E_V,Adv eff skelet musc relx,10,-,E_V,E_VE_V,#N/A
,,,,,,E9571,E_V,Injury-jump fm struc NEC,10,-,E_V,E_VE_V,#N/A
,,,,,,V061,E_V,Vaccination for DTP-DTaP,10,-,E_V,E_VE_V,#N/A
,,,,,,V1053,E_V,Hx malig renal pelvis,10,-,E_V,E_VE_V,#N/A
,,,,,,V1061,E_V,Hx of lymphoid leukemia,10,-,E_V,E_VE_V,#N/A
,,,,,,V1507,E_V,Hx-latex allergy,10,-,E_V,E_VE_V,#N/A
,,,,,,V1641,E_V,Fm hx ovary malignancy,10,-,E_V,E_VE_V,#N/A
,,,,,,V292,E_V,Obsrv NB suspc resp cond,10,-,E_V,E_VE_V,#N/A
,,,,,,V5412,E_V,Aftrcre traum fx low arm,10,-,E_V,E_VE_V,#N/A
,,,,,,V5417,E_V,Aftrcre traum fx vertebr,10,-,E_V,E_VE_V,#N/A
,,,,,,V652,E_V,Person feigning illness,10,-,E_V,E_VE_V,#N/A
,,,,,,0949,001-139,Neurosyphilis NOS,9,-,Others,001-139Others,#N/A
,,,,,,1307,001-139,Toxoplasmosis site NEC,9,-,Others,001-139Others,#N/A
,,,,,,1330,001-139,Scabies,9,-,Others,001-139Others,#N/A
,,,,,,1715,140-239,Mal neo soft tis abdomen,9,-,Others,140-239Others,#N/A
,,,,,,1744,140-239,Mal neo breast up-outer,9,-,Others,140-239Others,#N/A
,,,,,,1891,140-239,Malig neo renal pelvis,9,-,Others,140-239Others,#N/A
,,,,,,1910,140-239,Malign neopl cerebrum,9,-,Others,140-239Others,#N/A
,,,,,,1914,140-239,Mal neo occipital lobe,9,-,Others,140-239Others,#N/A
,,,,,,1950,140-239,Mal neo head/face/neck,9,-,Others,140-239Others,#N/A
,,,,,,2230,140-239,Benign neoplasm kidney,9,-,Others,140-239Others,#N/A
,,,,,,2515,240-279,Abnorm secretion gastrin,9,-,Others,240-279Others,#N/A
,,,,,,2699,240-279,Nutrition deficiency NOS,9,-,Others,240-279Others,#N/A
,,,,,,28264,280-289,Hb-S/Hb-C dis w crisis,1,-,Anemia,280-289Anemia,280-289Anemia
,,,,,,30122,290-319,Schizotypal person dis,9,-,Others,290-319Others,#N/A
,,,,,,30541,290-319,"Sed,hyp,anxiolytc ab-con",9,-,Others,290-319Others,#N/A
,,,,,,3129,290-319,Conduct disturbance NOS,9,-,Others,290-319Others,#N/A
,,,,,,3180,290-319,Mod intellect disability,9,-,Others,290-319Others,#N/A
,,,,,,32382,320-389,Myelitis cause NEC,9,-,Others,320-389Others,#N/A
,,,,,,33821,320-389,Chronc pain d/t trauma,9,-,Others,320-389Others,#N/A
,,,,,,34501,320-389,Gen nonconv ep w intr ep,9,-,Others,320-389Others,#N/A
,,,,,,3553,320-389,Lat popliteal nerve les,9,-,Others,320-389Others,#N/A
,,,,,,3577,320-389,Neurpthy toxic agent NEC,9,-,Others,320-389Others,#N/A
,,,,,,4219,390-459,Ac/subac endocardit NOS,9,-,Others,390-459Others,#N/A
,,,,,,42511,390-459,Hyprtrophc obst cardiomy,9,-,Others,390-459Others,#N/A
,,,,,,4253,390-459,Endocard fibroelastosis,9,-,Others,390-459Others,#N/A
,,,,,,43380,390-459,Ocl spcf art wo infrct,9,-,Others,390-459Others,#N/A
,,,,,,43830,390-459,Late ef-mplga up lmb NOS,9,-,Others,390-459Others,#N/A
,,,,,,43850,390-459,Lt ef oth paral side NOS,9,-,Others,390-459Others,#N/A
,,,,,,44409,390-459,Ot art emb/thrm abd aort,9,-,Others,390-459Others,#N/A
,,,,,,4533,390-459,Renal vein thrombosis,9,-,Others,390-459Others,#N/A
,,,,,,45375,390-459,Ch emblsm subclav veins,9,-,Others,390-459Others,#N/A
,,,,,,45387,390-459,Ac embl thorac vein NEC,9,-,Others,390-459Others,#N/A
,,,,,,45389,390-459,Ac embolism veins NEC,9,-,Others,390-459Others,#N/A
,,,,,,46431,460-519,Ac epiglottitis w obstr,9,-,Others,460-519Others,#N/A
,,,,,,47822,460-519,Parapharyngeal abscess,9,-,Others,460-519Others,#N/A
,,,,,,5239,520-579,Gingiv/periodont dis NOS,9,-,Others,520-579Others,#N/A
,,,,,,5264,520-579,Inflammation of jaw,9,-,Others,520-579Others,#N/A
,,,,,,5275,520-579,Sialolithiasis,9,-,Others,520-579Others,#N/A
,,,,,,53220,520-579,Ac duoden ulc w hem/perf,9,-,Others,520-579Others,#N/A
,,,,,,53511,520-579,Atrph gastritis w hmrhg,9,-,Others,520-579Others,#N/A
,,,,,,541,520-579,Appendicitis NOS,9,-,Others,520-579Others,#N/A
,,,,,,5439,520-579,Diseases of appendix NEC,9,-,Others,520-579Others,#N/A
,,,,,,56782,520-579,Sclerosing mesenteritis,9,-,Others,520-579Others,#N/A
,,,,,,56942,520-579,Anal or rectal pain,9,-,Others,520-579Others,#N/A
,,,,,,6140,580-629,Ac salpingo-oophoritis,9,-,Others,580-629Others,#N/A
,,,,,,6143,580-629,Acute parametritis,9,-,Others,580-629Others,#N/A
,,,,,,6268,580-629,Menstrual disorder NEC,9,-,Others,580-629Others,#N/A
,,,,,,64844,630_679__740_759__760_779,Mental disorder-postpart,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,67454,630_679__740_759__760_779,Peripartum card-postpart,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,6829,680-709,Cellulitis NOS,9,-,Others,680-709Others,#N/A
,,,,,,7011,680-709,"Keratoderma, acquired",9,-,Others,680-709Others,#N/A
,,,,,,7019,680-709,Skin hypertro/atroph NOS,9,-,Others,680-709Others,#N/A
,,,,,,70400,680-709,Alopecia NOS,9,-,Others,680-709Others,#N/A
,,,,,,70583,680-709,Hidradenitis,9,-,Others,680-709Others,#N/A
,,,,,,7061,680-709,Acne NEC,9,-,Others,680-709Others,#N/A
,,,,,,7421,630_679__740_759__760_779,Microcephalus,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,74569,630_679__740_759__760_779,Endocard cushion def NEC,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,74749,630_679__740_759__760_779,Great vein anomaly NEC,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,75263,630_679__740_759__760_779,Congenital chordee,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,75481,630_679__740_759__760_779,Pectus excavatum,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,75563,630_679__740_759__760_779,Cong hip deformity NEC,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,75610,630_679__740_759__760_779,Anomaly of spine NOS,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,76382,630_679__740_759__760_779,Ab ftl hrt rt/rh dur lab,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,76403,630_679__740_759__760_779,Lt-for-dates 750-999g,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,76492,630_679__740_759__760_779,Fet growth ret 500-749g,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,76495,630_679__740_759__760_779,Fet grwth ret 1250-1499g,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,76501,630_679__740_759__760_779,Extreme immatur <500g,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,76521,630_679__740_759__760_779,<24 comp wks gestation,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7676,630_679__740_759__760_779,Brach plexus inj-birth,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7730,630_679__740_759__760_779,NB hemolyt dis:rh isoimm,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7771,630_679__740_759__760_779,Meconium obstruction,9,-,Others,630_679__740_759__760_779Others,#N/A
,,,,,,7827,780-799,Spontaneous ecchymoses,23,-,Others,780-799Others,#N/A
,,,,,,79389,780-799,Abn finding-breast NEC,9,-,Others,780-799Others,#N/A
,,,,,,7944,780-799,Abn kidney funct study,9,-,Others,780-799Others,#N/A
,,,,,,7964,780-799,Abn clinical finding NEC,9,-,Others,780-799Others,#N/A
,,,,,,83101,800-999,Ant disloc humerus-close,9,-,Others,800-999Others,#N/A
,,,,,,83901,800-999,Disloc 1st cerv vert-cl,9,-,Others,800-999Others,#N/A
,,,,,,84500,800-999,Sprain of ankle NOS,9,-,Others,800-999Others,#N/A
,,,,,,85406,800-999,Brain inj NEC-coma NOS,9,-,Others,800-999Others,#N/A
,,,,,,86399,800-999,GI injury NEC-open,9,-,Others,800-999Others,#N/A
,,,,,,8676,800-999,Pelvic organ inj NEC-cl,9,-,Others,800-999Others,#N/A
,,,,,,8792,800-999,Opn wnd anterior abdomen,9,-,Others,800-999Others,#N/A
,,,,,,88002,800-999,Open wound of axilla,9,-,Others,800-999Others,#N/A
,,,,,,90441,800-999,Injury popliteal artery,9,-,Others,800-999Others,#N/A
,,,,,,9219,800-999,Contusion of eye NOS,9,-,Others,800-999Others,#N/A
,,,,,,9500,800-999,Optic nerve injury,9,-,Others,800-999Others,#N/A
,,,,,,9534,800-999,Brachial plexus injury,9,-,Others,800-999Others,#N/A
,,,,,,9552,800-999,Injury ulnar nerve,9,-,Others,800-999Others,#N/A
,,,,,,95891,800-999,Trauma comp synd up ext,9,-,Others,800-999Others,#N/A
,,,,,,990,800-999,Effects radiation NOS,9,-,Others,800-999Others,#N/A
,,,,,,99527,800-999,Drug allergy NEC,9,-,Others,800-999Others,#N/A
,,,,,,99603,800-999,Malfunc coron bypass grf,9,-,Others,800-999Others,#N/A
,,,,,,99678,800-999,Comp-oth int ortho devic,9,-,Others,800-999Others,#N/A
,,,,,,99982,800-999,Extravasn vesicant NEC,9,-,Others,800-999Others,#N/A
,,,,,,E0010,E_V,"Walking,marching,hiking",9,-,E_V,E_VE_V,#N/A
,,,,,,E8131,E_V,Mv-oth veh coll-pasngr,9,-,E_V,E_VE_V,#N/A
,,,,,,E8508,E_V,Acc poison-analgesic NEC,9,-,E_V,E_VE_V,#N/A
,,,,,,E8551,E_V,Acc poisn-cns depres NEC,9,-,E_V,E_VE_V,#N/A
,,,,,,E9283,E_V,Human bite - accidental,9,-,E_V,E_VE_V,#N/A
,,,,,,E9313,E_V,Adv eff quinoline,9,-,E_V,E_VE_V,#N/A
,,,,,,E9501,E_V,Poison-barbiturates,9,-,E_V,E_VE_V,#N/A
,,,,,,V1509,E_V,Hx-allergy NEC,9,-,E_V,E_VE_V,#N/A
,,,,,,V434,E_V,Blood vessel replac NEC,9,-,E_V,E_VE_V,#N/A
,,,,,,V8523,E_V,"BMI 27.0-27.9,adult",9,-,E_V,E_VE_V,#N/A
,,,,,,1418,140-239,Malig neo tongue NEC,8,-,Others,140-239Others,#N/A
,,,,,,1503,140-239,Mal neo upper 3rd esoph,8,-,Others,140-239Others,#N/A
,,,,,,1537,140-239,Mal neo splenic flexure,8,-,Others,140-239Others,#N/A
,,,,,,1569,140-239,Malig neo biliary NOS,8,-,Others,140-239Others,#N/A
,,,,,,1714,140-239,Mal neo soft tis thorax,8,-,Others,140-239Others,#N/A
,,,,,,1809,140-239,Mal neo cervix uteri NOS,8,-,Others,140-239Others,#N/A
,,,,,,3941,390-459,Rheumatic mitral insuff,55,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3942,390-459,Mitral stenosis w insuff,54,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3940,390-459,Mitral stenosis,30,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3949,390-459,Mitral valve dis NEC/NOS,4,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3950,390-459,Rheumat aortic stenosis,26,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3952,390-459,Rheum aortic sten/insuff,6,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3951,390-459,Rheumatic aortic insuff,5,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3959,390-459,Rheum aortic dis NEC/NOS,1,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3962,390-459,Mitral insuf/aort stenos,386,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3963,390-459,Mitral/aortic val insuff,341,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3968,390-459,Mitr/aortic mult involv,114,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3960,390-459,Mitral/aortic stenosis,52,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3961,390-459,Mitral stenos/aort insuf,15,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3969,390-459,Mitral/aortic v dis NOS,1,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3970,390-459,Tricuspid valve disease,779,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3971,390-459,Rheum pulmon valve dis,2,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,3979,390-459,Rheum endocarditis NOS,0,-,Valvular Disease,390-459Valvular Disease,390-459Valvular Disease
,,,,,,39891,390-459,Rheumatic heart failure,437,-,Heart failure,390-459Heart failure,390-459Heart failure
